id,count,population
00,1,
13500,5,71803
13400,15,187435
11500,61,720600
13200,24,229807
13100,18,180039
13000,31,388436
13700,1,138362
13600,20,236059
11300,72,1170817
11200,174,2504700
13900,10,82318
13800,15,139711
11900,22,249449
11800,7,72690
10100,2,62248
10800,4,85822
11600,7,114978
14600,61,478127
14700,18,179736
14400,20,304910
14500,26,320247
14200,56,564824
14300,10,66192
14000,46,444874
14100,15,200100
14800,21,283720
Zip Code - 3 digits00,0,
12000,32,330854
12100,25,280446
12200,14,151022
10900,35,537311
12400,16,154261
12500,36,448672
12600,10,86794
12700,9,99295
12800,28,225336
12900,17,164172
10000,114,1502501
14900,7,49642
10600,4,81120
10700,13,227049
10400,113,1382480
10500,37,646012
13300,17,142936
11400,33,728928
11700,97,1565949
12300,18,162643
OOS00,47,
11100,12,204715
10300,33,468730
11000,15,246333
