id,count,population
00,0,
13500,1,71803
13400,6,187435
11500,5,720600
13200,9,229807
13100,3,180039
13000,6,388436
13700,3,138362
13600,2,236059
11300,17,1170817
11200,32,2504700
13900,1,82318
13800,5,139711
11900,1,249449
11800,2,72690
10100,0,62248
10800,2,85822
11600,4,114978
14600,18,478127
14700,1,179736
14400,4,304910
14500,4,320247
14200,6,564824
14300,0,66192
14000,1,444874
14100,0,200100
14800,3,283720
Zip Code - 3 digits00,0,
12000,7,330854
12100,9,280446
12200,0,151022
10900,14,537311
12400,0,154261
12500,5,448672
12600,0,86794
12700,2,99295
12800,10,225336
12900,3,164172
10000,69,1502501
14900,1,49642
10600,1,81120
10700,3,227049
10400,33,1382480
10500,7,646012
13300,4,142936
11400,7,728928
11700,20,1565949
12300,8,162643
OOS00,10,
11100,1,204715
10300,10,468730
11000,5,246333
