id,count,population
00,6,
13500,46,71803
13400,124,187435
11500,484,720600
13200,145,229807
13100,84,180039
13000,186,388436
13700,51,138362
13600,102,236059
11300,479,1170817
11200,1520,2504700
13900,37,82318
13800,59,139711
11900,152,249449
11800,41,72690
10100,24,62248
10800,42,85822
11600,110,114978
14600,188,478127
14700,78,179736
14400,98,304910
14500,107,320247
14200,258,564824
14300,52,66192
14000,186,444874
14100,91,200100
14800,77,283720
Zip Code - 3 digits00,0,
12000,125,330854
12100,101,280446
12200,70,151022
10900,237,537311
12400,77,154261
12500,173,448672
12600,36,86794
12700,63,99295
12800,90,225336
12900,56,164172
10000,733,1502501
14900,25,49642
10600,48,81120
10700,163,227049
10400,955,1382480
10500,278,646012
13300,68,142936
11400,443,728928
11700,978,1565949
12300,72,162643
OOS00,220,
11100,71,204715
10300,362,468730
11000,121,246333
