id,count,population
00,0,
13500,12,71803
13400,26,187435
11500,87,720600
13200,33,229807
13100,10,180039
13000,17,388436
13700,9,138362
13600,19,236059
11300,111,1170817
11200,430,2504700
13900,5,82318
13800,13,139711
11900,20,249449
11800,8,72690
10100,5,62248
10800,1,85822
11600,16,114978
14600,80,478127
14700,14,179736
14400,19,304910
14500,27,320247
14200,56,564824
14300,9,66192
14000,27,444874
14100,12,200100
14800,18,283720
Zip Code - 3 digits00,0,
12000,32,330854
12100,19,280446
12200,14,151022
10900,41,537311
12400,14,154261
12500,29,448672
12600,7,86794
12700,34,99295
12800,17,225336
12900,13,164172
10000,179,1502501
14900,7,49642
10600,12,81120
10700,49,227049
10400,410,1382480
10500,46,646012
13300,23,142936
11400,118,728928
11700,133,1565949
12300,14,162643
OOS00,39,
11100,29,204715
10300,48,468730
11000,14,246333
