id,count,population
00,7,
13500,33,71803
13400,94,187435
11500,242,720600
13200,108,229807
13100,62,180039
13000,164,388436
13700,43,138362
13600,78,236059
11300,317,1170817
11200,702,2504700
13900,22,82318
13800,40,139711
11900,115,249449
11800,33,72690
10100,10,62248
10800,25,85822
11600,46,114978
14600,154,478127
14700,55,179736
14400,104,304910
14500,85,320247
14200,215,564824
14300,42,66192
14000,153,444874
14100,104,200100
14800,92,283720
Zip Code - 3 digits00,0,
12000,116,330854
12100,81,280446
12200,69,151022
10900,159,537311
12400,62,154261
12500,136,448672
12600,21,86794
12700,32,99295
12800,80,225336
12900,54,164172
10000,405,1502501
14900,15,49642
10600,26,81120
10700,75,227049
10400,381,1382480
10500,223,646012
13300,54,142936
11400,184,728928
11700,580,1565949
12300,57,162643
OOS00,216,
11100,59,204715
10300,152,468730
11000,81,246333
