id,count,population
00,18,
13500,336,71803
13400,763,187435
11500,1690,720600
13200,911,229807
13100,564,180039
13000,1310,388436
13700,456,138362
13600,871,236059
11300,2898,1170817
11200,6373,2504700
13900,295,82318
13800,536,139711
11900,877,249449
11800,181,72690
10100,108,62248
10800,244,85822
11600,364,114978
14600,1145,478127
14700,592,179736
14400,835,304910
14500,850,320247
14200,1319,564824
14300,238,66192
14000,1135,444874
14100,606,200100
14800,989,283720
Zip Code - 3 digits00,0,
12000,964,330854
12100,709,280446
12200,363,151022
10900,1312,537311
12400,614,154261
12500,1219,448672
12600,291,86794
12700,350,99295
12800,696,225336
12900,535,164172
10000,3820,1502501
14900,335,49642
10600,232,81120
10700,689,227049
10400,4629,1382480
10500,1485,646012
13300,610,142936
11400,1795,728928
11700,4555,1565949
12300,411,162643
OOS00,964,
11100,406,204715
10300,992,468730
11000,518,246333
