id,count,population
00,0,
13500,1,71803
13400,3,187435
11500,12,720600
13200,3,229807
13100,0,180039
13000,7,388436
13700,5,138362
13600,6,236059
11300,20,1170817
11200,50,2504700
13900,1,82318
13800,2,139711
11900,11,249449
11800,2,72690
10100,0,62248
10800,1,85822
11600,1,114978
14600,7,478127
14700,3,179736
14400,11,304910
14500,9,320247
14200,17,564824
14300,2,66192
14000,10,444874
14100,7,200100
14800,5,283720
Zip Code - 3 digits00,0,
12000,4,330854
12100,3,280446
12200,7,151022
10900,16,537311
12400,7,154261
12500,12,448672
12600,2,86794
12700,3,99295
12800,9,225336
12900,4,164172
10000,50,1502501
14900,0,49642
10600,5,81120
10700,5,227049
10400,35,1382480
10500,23,646012
13300,4,142936
11400,19,728928
11700,32,1565949
12300,3,162643
OOS00,31,
11100,6,204715
10300,12,468730
11000,7,246333
