id,count,population
00,49,
13500,106,71803
13400,167,187435
11500,623,720600
13200,286,229807
13100,118,180039
13000,350,388436
13700,115,138362
13600,193,236059
11300,2128,1170817
11200,3583,2504700
13900,59,82318
13800,72,139711
11900,162,249449
11800,45,72690
10100,86,62248
10800,76,85822
11600,159,114978
14600,669,478127
14700,112,179736
14400,240,304910
14500,269,320247
14200,694,564824
14300,60,66192
14000,274,444874
14100,145,200100
14800,119,283720
Zip Code - 3 digits00,0,
12000,144,330854
12100,171,280446
12200,113,151022
10900,419,537311
12400,88,154261
12500,294,448672
12600,101,86794
12700,63,99295
12800,161,225336
12900,45,164172
10000,2572,1502501
14900,46,49642
10600,86,81120
10700,167,227049
10400,2341,1382480
10500,462,646012
13300,102,142936
11400,954,728928
11700,1014,1565949
12300,69,162643
OOS00,532,
11100,391,204715
10300,251,468730
11000,208,246333
