id,count,population
00,0,
13500,2,71803
13400,4,187435
11500,8,720600
13200,2,229807
13100,0,180039
13000,1,388436
13700,2,138362
13600,1,236059
11300,14,1170817
11200,47,2504700
13900,0,82318
13800,0,139711
11900,4,249449
11800,0,72690
10100,0,62248
10800,1,85822
11600,3,114978
14600,9,478127
14700,0,179736
14400,2,304910
14500,2,320247
14200,1,564824
14300,0,66192
14000,3,444874
14100,3,200100
14800,0,283720
Zip Code - 3 digits00,0,
12000,3,330854
12100,2,280446
12200,0,151022
10900,4,537311
12400,1,154261
12500,4,448672
12600,2,86794
12700,0,99295
12800,1,225336
12900,1,164172
10000,32,1502501
14900,1,49642
10600,0,81120
10700,1,227049
10400,26,1382480
10500,6,646012
13300,1,142936
11400,22,728928
11700,12,1565949
12300,1,162643
OOS00,5,
11100,5,204715
10300,5,468730
11000,2,246333
