id,count,population
00,1,
13500,54,71803
13400,112,187435
11500,177,720600
13200,119,229807
13100,79,180039
13000,173,388436
13700,64,138362
13600,89,236059
11300,181,1170817
11200,380,2504700
13900,40,82318
13800,58,139711
11900,139,249449
11800,20,72690
10100,4,62248
10800,26,85822
11600,38,114978
14600,108,478127
14700,55,179736
14400,103,304910
14500,105,320247
14200,244,564824
14300,37,66192
14000,223,444874
14100,103,200100
14800,79,283720
Zip Code - 3 digits00,0,
12000,129,330854
12100,138,280446
12200,52,151022
10900,134,537311
12400,103,154261
12500,183,448672
12600,41,86794
12700,37,99295
12800,124,225336
12900,62,164172
10000,148,1502501
14900,36,49642
10600,14,81120
10700,73,227049
10400,161,1382480
10500,127,646012
13300,91,142936
11400,77,728928
11700,527,1565949
12300,31,162643
OOS00,165,
11100,43,204715
10300,146,468730
11000,56,246333
