id,count,population
00,8,
13500,22,71803
13400,50,187435
11500,247,720600
13200,67,229807
13100,34,180039
13000,100,388436
13700,31,138362
13600,103,236059
11300,533,1170817
11200,1212,2504700
13900,26,82318
13800,41,139711
11900,45,249449
11800,21,72690
10100,15,62248
10800,19,85822
11600,63,114978
14600,139,478127
14700,39,179736
14400,74,304910
14500,62,320247
14200,227,564824
14300,22,66192
14000,93,444874
14100,45,200100
14800,98,283720
Zip Code - 3 digits00,0,
12000,77,330854
12100,80,280446
12200,63,151022
10900,171,537311
12400,20,154261
12500,82,448672
12600,22,86794
12700,24,99295
12800,69,225336
12900,54,164172
10000,424,1502501
14900,8,49642
10600,28,81120
10700,80,227049
10400,791,1382480
10500,110,646012
13300,38,142936
11400,335,728928
11700,358,1565949
12300,37,162643
OOS00,109,
11100,101,204715
10300,95,468730
11000,79,246333
