id,count,population
00,8,
13500,16,71803
13400,17,187435
11500,131,720600
13200,37,229807
13100,25,180039
13000,58,388436
13700,16,138362
13600,51,236059
11300,235,1170817
11200,627,2504700
13900,16,82318
13800,19,139711
11900,51,249449
11800,14,72690
10100,10,62248
10800,11,85822
11600,27,114978
14600,60,478127
14700,12,179736
14400,26,304910
14500,22,320247
14200,89,564824
14300,10,66192
14000,42,444874
14100,26,200100
14800,22,283720
Zip Code - 3 digits00,0,
12000,50,330854
12100,33,280446
12200,31,151022
10900,85,537311
12400,16,154261
12500,43,448672
12600,20,86794
12700,8,99295
12800,23,225336
12900,11,164172
10000,290,1502501
14900,8,49642
10600,12,81120
10700,38,227049
10400,308,1382480
10500,89,646012
13300,19,142936
11400,171,728928
11700,233,1565949
12300,29,162643
OOS00,80,
11100,41,204715
10300,73,468730
11000,36,246333
