id,count,population
00,12,
13500,63,71803
13400,117,187435
11500,409,720600
13200,186,229807
13100,89,180039
13000,201,388436
13700,83,138362
13600,286,236059
11300,647,1170817
11200,2149,2504700
13900,62,82318
13800,88,139711
11900,127,249449
11800,31,72690
10100,32,62248
10800,33,85822
11600,89,114978
14600,453,478127
14700,72,179736
14400,174,304910
14500,191,320247
14200,513,564824
14300,39,66192
14000,194,444874
14100,98,200100
14800,157,283720
Zip Code - 3 digits00,0,
12000,175,330854
12100,195,280446
12200,133,151022
10900,221,537311
12400,58,154261
12500,228,448672
12600,53,86794
12700,64,99295
12800,120,225336
12900,61,164172
10000,977,1502501
14900,31,49642
10600,36,81120
10700,141,227049
10400,1787,1382480
10500,264,646012
13300,66,142936
11400,583,728928
11700,738,1565949
12300,102,162643
OOS00,266,
11100,131,204715
10300,244,468730
11000,94,246333
