id,count,population
00,40,
13500,137,71803
13400,219,187435
11500,1208,720600
13200,287,229807
13100,207,180039
13000,459,388436
13700,183,138362
13600,421,236059
11300,1998,1170817
11200,4143,2504700
13900,100,82318
13800,144,139711
11900,398,249449
11800,110,72690
10100,71,62248
10800,117,85822
11600,171,114978
14600,630,478127
14700,239,179736
14400,317,304910
14500,354,320247
14200,826,564824
14300,146,66192
14000,561,444874
14100,241,200100
14800,345,283720
Zip Code - 3 digits00,0,
12000,384,330854
12100,353,280446
12200,190,151022
10900,771,537311
12400,141,154261
12500,539,448672
12600,152,86794
12700,151,99295
12800,243,225336
12900,193,164172
10000,1627,1502501
14900,75,49642
10600,128,81120
10700,465,227049
10400,2392,1382480
10500,854,646012
13300,176,142936
11400,1261,728928
11700,2811,1565949
12300,226,162643
OOS00,557,
11100,234,204715
10300,666,468730
11000,366,246333
