id,count,population
00,62,
13500,167,71803
13400,267,187435
11500,686,720600
13200,308,229807
13100,200,180039
13000,445,388436
13700,114,138362
13600,661,236059
11300,2479,1170817
11200,6501,2504700
13900,75,82318
13800,97,139711
11900,159,249449
11800,64,72690
10100,127,62248
10800,91,85822
11600,192,114978
14600,555,478127
14700,154,179736
14400,314,304910
14500,308,320247
14200,919,564824
14300,45,66192
14000,380,444874
14100,188,200100
14800,273,283720
Zip Code - 3 digits00,0,
12000,317,330854
12100,248,280446
12200,157,151022
10900,1239,537311
12400,97,154261
12500,388,448672
12600,84,86794
12700,83,99295
12800,295,225336
12900,119,164172
10000,2562,1502501
14900,75,49642
10600,85,81120
10700,218,227049
10400,2685,1382480
10500,581,646012
13300,199,142936
11400,960,728928
11700,1209,1565949
12300,119,162643
OOS00,510,
11100,388,204715
10300,547,468730
11000,250,246333
