id,count,population
00,9,
13500,7,71803
13400,37,187435
11500,155,720600
13200,34,229807
13100,33,180039
13000,73,388436
13700,34,138362
13600,39,236059
11300,193,1170817
11200,507,2504700
13900,14,82318
13800,34,139711
11900,68,249449
11800,9,72690
10100,15,62248
10800,30,85822
11600,15,114978
14600,134,478127
14700,31,179736
14400,107,304910
14500,169,320247
14200,68,564824
14300,17,66192
14000,89,444874
14100,37,200100
14800,58,283720
Zip Code - 3 digits00,0,
12000,52,330854
12100,53,280446
12200,17,151022
10900,107,537311
12400,42,154261
12500,95,448672
12600,18,86794
12700,21,99295
12800,58,225336
12900,17,164172
10000,348,1502501
14900,10,49642
10600,27,81120
10700,57,227049
10400,302,1382480
10500,233,646012
13300,27,142936
11400,150,728928
11700,327,1565949
12300,13,162643
OOS00,921,
11100,18,204715
10300,99,468730
11000,64,246333
