id,count,population
00,1,
13500,69,71803
13400,72,187435
11500,158,720600
13200,86,229807
13100,42,180039
13000,123,388436
13700,32,138362
13600,87,236059
11300,161,1170817
11200,435,2504700
13900,33,82318
13800,30,139711
11900,80,249449
11800,15,72690
10100,14,62248
10800,18,85822
11600,19,114978
14600,161,478127
14700,33,179736
14400,83,304910
14500,81,320247
14200,139,564824
14300,25,66192
14000,110,444874
14100,53,200100
14800,88,283720
Zip Code - 3 digits00,0,
12000,88,330854
12100,64,280446
12200,46,151022
10900,90,537311
12400,50,154261
12500,104,448672
12600,26,86794
12700,25,99295
12800,78,225336
12900,43,164172
10000,327,1502501
14900,31,49642
10600,15,81120
10700,59,227049
10400,309,1382480
10500,128,646012
13300,55,142936
11400,111,728928
11700,421,1565949
12300,52,162643
OOS00,122,
11100,39,204715
10300,167,468730
11000,48,246333
