id,count,population
00,5,
13500,35,71803
13400,142,187435
11500,329,720600
13200,172,229807
13100,105,180039
13000,265,388436
13700,72,138362
13600,126,236059
11300,312,1170817
11200,1154,2504700
13900,42,82318
13800,84,139711
11900,145,249449
11800,38,72690
10100,23,62248
10800,39,85822
11600,60,114978
14600,319,478127
14700,120,179736
14400,165,304910
14500,198,320247
14200,363,564824
14300,59,66192
14000,302,444874
14100,126,200100
14800,152,283720
Zip Code - 3 digits00,0,
12000,172,330854
12100,146,280446
12200,96,151022
10900,248,537311
12400,97,154261
12500,207,448672
12600,49,86794
12700,55,99295
12800,116,225336
12900,129,164172
10000,793,1502501
14900,43,49642
10600,38,81120
10700,92,227049
10400,746,1382480
10500,270,646012
13300,89,142936
11400,342,728928
11700,775,1565949
12300,86,162643
OOS00,290,
11100,50,204715
10300,153,468730
11000,113,246333
