id,count,population
00,2,
13500,7,71803
13400,25,187435
11500,97,720600
13200,26,229807
13100,19,180039
13000,63,388436
13700,19,138362
13600,29,236059
11300,141,1170817
11200,318,2504700
13900,8,82318
13800,19,139711
11900,45,249449
11800,8,72690
10100,8,62248
10800,3,85822
11600,8,114978
14600,64,478127
14700,21,179736
14400,37,304910
14500,48,320247
14200,69,564824
14300,11,66192
14000,54,444874
14100,32,200100
14800,21,283720
Zip Code - 3 digits00,0,
12000,49,330854
12100,27,280446
12200,12,151022
10900,44,537311
12400,20,154261
12500,49,448672
12600,9,86794
12700,11,99295
12800,29,225336
12900,15,164172
10000,197,1502501
14900,6,49642
10600,9,81120
10700,39,227049
10400,168,1382480
10500,68,646012
13300,24,142936
11400,82,728928
11700,164,1565949
12300,18,162643
OOS00,167,
11100,13,204715
10300,62,468730
11000,31,246333
