id,count,population
00,33,
13500,137,71803
13400,241,187435
11500,1882,720600
13200,244,229807
13100,187,180039
13000,360,388436
13700,169,138362
13600,280,236059
11300,1305,1170817
11200,5123,2504700
13900,92,82318
13800,135,139711
11900,497,249449
11800,123,72690
10100,155,62248
10800,175,85822
11600,232,114978
14600,353,478127
14700,288,179736
14400,207,304910
14500,223,320247
14200,919,564824
14300,68,66192
14000,522,444874
14100,348,200100
14800,385,283720
Zip Code - 3 digits00,0,
12000,855,330854
12100,695,280446
12200,424,151022
10900,945,537311
12400,407,154261
12500,576,448672
12600,138,86794
12700,263,99295
12800,438,225336
12900,20,164172
10000,3725,1502501
14900,118,49642
10600,242,81120
10700,531,227049
10400,2001,1382480
10500,1459,646012
13300,152,142936
11400,1146,728928
11700,3101,1565949
12300,669,162643
OOS00,1524,
11100,230,204715
10300,1298,468730
11000,479,246333
