id,count,population
00,0,
13500,11,71803
13400,11,187435
11500,4,720600
13200,1,229807
13100,6,180039
13000,8,388436
13700,3,138362
13600,10,236059
11300,3,1170817
11200,18,2504700
13900,0,82318
13800,4,139711
11900,16,249449
11800,2,72690
10100,0,62248
10800,0,85822
11600,3,114978
14600,12,478127
14700,14,179736
14400,6,304910
14500,6,320247
14200,7,564824
14300,6,66192
14000,14,444874
14100,9,200100
14800,4,283720
Zip Code - 3 digits00,0,
12000,2,330854
12100,1,280446
12200,0,151022
10900,15,537311
12400,4,154261
12500,15,448672
12600,0,86794
12700,8,99295
12800,10,225336
12900,6,164172
10000,4,1502501
14900,0,49642
10600,0,81120
10700,6,227049
10400,9,1382480
10500,5,646012
13300,8,142936
11400,8,728928
11700,7,1565949
12300,1,162643
OOS00,13,
11100,0,204715
10300,0,468730
11000,0,246333
