id,count,population
00,0,
13500,1,71803
13400,1,187435
11500,17,720600
13200,6,229807
13100,5,180039
13000,6,388436
13700,1,138362
13600,3,236059
11300,33,1170817
11200,32,2504700
13900,0,82318
13800,2,139711
11900,3,249449
11800,2,72690
10100,0,62248
10800,2,85822
11600,1,114978
14600,9,478127
14700,0,179736
14400,3,304910
14500,4,320247
14200,12,564824
14300,0,66192
14000,4,444874
14100,3,200100
14800,6,283720
Zip Code - 3 digits00,0,
12000,8,330854
12100,5,280446
12200,10,151022
10900,9,537311
12400,2,154261
12500,7,448672
12600,2,86794
12700,2,99295
12800,1,225336
12900,0,164172
10000,21,1502501
14900,2,49642
10600,1,81120
10700,5,227049
10400,37,1382480
10500,11,646012
13300,1,142936
11400,15,728928
11700,27,1565949
12300,1,162643
OOS00,21,
11100,1,204715
10300,13,468730
11000,8,246333
