id,count,population
00,1,
13500,1,71803
13400,16,187435
11500,38,720600
13200,8,229807
13100,6,180039
13000,15,388436
13700,8,138362
13600,15,236059
11300,55,1170817
11200,130,2504700
13900,6,82318
13800,6,139711
11900,14,249449
11800,4,72690
10100,1,62248
10800,4,85822
11600,6,114978
14600,34,478127
14700,2,179736
14400,17,304910
14500,20,320247
14200,27,564824
14300,4,66192
14000,33,444874
14100,11,200100
14800,7,283720
Zip Code - 3 digits00,0,
12000,13,330854
12100,10,280446
12200,7,151022
10900,28,537311
12400,6,154261
12500,19,448672
12600,3,86794
12700,3,99295
12800,9,225336
12900,8,164172
10000,79,1502501
14900,1,49642
10600,5,81120
10700,17,227049
10400,117,1382480
10500,44,646012
13300,3,142936
11400,29,728928
11700,73,1565949
12300,6,162643
OOS00,38,
11100,8,204715
10300,24,468730
11000,11,246333
