id,count,population
00,8,
13500,299,71803
13400,220,187435
11500,1200,720600
13200,675,229807
13100,189,180039
13000,400,388436
13700,130,138362
13600,408,236059
11300,1958,1170817
11200,8098,2504700
13900,214,82318
13800,100,139711
11900,246,249449
11800,46,72690
10100,90,62248
10800,176,85822
11600,928,114978
14600,1166,478127
14700,276,179736
14400,255,304910
14500,217,320247
14200,1474,564824
14300,338,66192
14000,416,444874
14100,198,200100
14800,345,283720
Zip Code - 3 digits00,0,
12000,365,330854
12100,382,280446
12200,242,151022
10900,854,537311
12400,306,154261
12500,570,448672
12600,264,86794
12700,180,99295
12800,421,225336
12900,236,164172
10000,5264,1502501
14900,172,49642
10600,166,81120
10700,522,227049
10400,4731,1382480
10500,965,646012
13300,123,142936
11400,2012,728928
11700,1365,1565949
12300,333,162643
OOS00,844,
11100,291,204715
10300,990,468730
11000,295,246333
