id,count,population
00,0,
13500,13,71803
13400,31,187435
11500,156,720600
13200,88,229807
13100,40,180039
13000,88,388436
13700,33,138362
13600,31,236059
11300,226,1170817
11200,722,2504700
13900,19,82318
13800,23,139711
11900,83,249449
11800,10,72690
10100,18,62248
10800,20,85822
11600,45,114978
14600,100,478127
14700,30,179736
14400,31,304910
14500,30,320247
14200,136,564824
14300,12,66192
14000,74,444874
14100,42,200100
14800,25,283720
Zip Code - 3 digits00,0,
12000,64,330854
12100,48,280446
12200,51,151022
10900,92,537311
12400,43,154261
12500,74,448672
12600,20,86794
12700,20,99295
12800,38,225336
12900,27,164172
10000,440,1502501
14900,13,49642
10600,24,81120
10700,49,227049
10400,584,1382480
10500,108,646012
13300,17,142936
11400,200,728928
11700,285,1565949
12300,35,162643
OOS00,96,
11100,59,204715
10300,97,468730
11000,45,246333
