id,count,population
00,14,
13500,57,71803
13400,166,187435
11500,697,720600
13200,175,229807
13100,115,180039
13000,335,388436
13700,96,138362
13600,116,236059
11300,874,1170817
11200,2172,2504700
13900,49,82318
13800,103,139711
11900,258,249449
11800,78,72690
10100,64,62248
10800,76,85822
11600,97,114978
14600,336,478127
14700,114,179736
14400,176,304910
14500,232,320247
14200,402,564824
14300,64,66192
14000,344,444874
14100,146,200100
14800,159,283720
Zip Code - 3 digits00,0,
12000,227,330854
12100,218,280446
12200,107,151022
10900,421,537311
12400,143,154261
12500,279,448672
12600,39,86794
12700,73,99295
12800,178,225336
12900,79,164172
10000,1301,1502501
14900,29,49642
10600,58,81120
10700,198,227049
10400,1101,1382480
10500,517,646012
13300,122,142936
11400,598,728928
11700,1383,1565949
12300,142,162643
OOS00,1487,
11100,150,204715
10300,439,468730
11000,229,246333
