id,count,population
00,14,
13500,207,71803
13400,516,187435
11500,3506,720600
13200,847,229807
13100,578,180039
13000,1007,388436
13700,471,138362
13600,713,236059
11300,4838,1170817
11200,8809,2504700
13900,411,82318
13800,463,139711
11900,986,249449
11800,247,72690
10100,114,62248
10800,387,85822
11600,919,114978
14600,2255,478127
14700,665,179736
14400,1152,304910
14500,1243,320247
14200,2579,564824
14300,320,66192
14000,1624,444874
14100,969,200100
14800,1116,283720
Zip Code - 3 digits00,0,
12000,1209,330854
12100,912,280446
12200,567,151022
10900,3157,537311
12400,573,154261
12500,2129,448672
12600,383,86794
12700,655,99295
12800,733,225336
12900,608,164172
10000,4339,1502501
14900,174,49642
10600,245,81120
10700,771,227049
10400,6545,1382480
10500,2086,646012
13300,372,142936
11400,2775,728928
11700,5136,1565949
12300,541,162643
OOS00,1159,
11100,399,204715
10300,2477,468730
11000,1085,246333
