id,count,population
00,0,
13500,0,71803
13400,0,187435
11500,12,720600
13200,6,229807
13100,1,180039
13000,6,388436
13700,1,138362
13600,2,236059
11300,13,1170817
11200,80,2504700
13900,0,82318
13800,0,139711
11900,2,249449
11800,0,72690
10100,0,62248
10800,2,85822
11600,2,114978
14600,10,478127
14700,0,179736
14400,0,304910
14500,3,320247
14200,6,564824
14300,0,66192
14000,2,444874
14100,1,200100
14800,1,283720
Zip Code - 3 digits00,0,
12000,1,330854
12100,4,280446
12200,4,151022
10900,4,537311
12400,1,154261
12500,2,448672
12600,0,86794
12700,0,99295
12800,2,225336
12900,2,164172
10000,56,1502501
14900,1,49642
10600,1,81120
10700,3,227049
10400,83,1382480
10500,8,646012
13300,1,142936
11400,15,728928
11700,20,1565949
12300,2,162643
OOS00,4,
11100,3,204715
10300,9,468730
11000,3,246333
