id,count,population
00,0,
13500,0,71803
13400,0,187435
11500,3,720600
13200,2,229807
13100,0,180039
13000,1,388436
13700,1,138362
13600,3,236059
11300,1,1170817
11200,7,2504700
13900,0,82318
13800,2,139711
11900,3,249449
11800,0,72690
10100,1,62248
10800,0,85822
11600,0,114978
14600,2,478127
14700,0,179736
14400,1,304910
14500,1,320247
14200,2,564824
14300,1,66192
14000,0,444874
14100,1,200100
14800,3,283720
Zip Code - 3 digits00,0,
12000,1,330854
12100,1,280446
12200,0,151022
10900,0,537311
12400,2,154261
12500,1,448672
12600,1,86794
12700,0,99295
12800,2,225336
12900,2,164172
10000,5,1502501
14900,4,49642
10600,1,81120
10700,0,227049
10400,10,1382480
10500,1,646012
13300,0,142936
11400,2,728928
11700,7,1565949
12300,0,162643
OOS00,0,
11100,1,204715
10300,0,468730
11000,0,246333
