id,count,population
00,1,
13500,36,71803
13400,21,187435
11500,7,720600
13200,3,229807
13100,4,180039
13000,15,388436
13700,7,138362
13600,23,236059
11300,9,1170817
11200,30,2504700
13900,4,82318
13800,5,139711
11900,7,249449
11800,1,72690
10100,0,62248
10800,1,85822
11600,4,114978
14600,23,478127
14700,4,179736
14400,5,304910
14500,11,320247
14200,6,564824
14300,1,66192
14000,3,444874
14100,3,200100
14800,7,283720
Zip Code - 3 digits00,0,
12000,1,330854
12100,2,280446
12200,1,151022
10900,23,537311
12400,6,154261
12500,11,448672
12600,0,86794
12700,10,99295
12800,9,225336
12900,13,164172
10000,6,1502501
14900,0,49642
10600,0,81120
10700,13,227049
10400,19,1382480
10500,9,646012
13300,27,142936
11400,11,728928
11700,14,1565949
12300,2,162643
OOS00,20,
11100,0,204715
10300,1,468730
11000,1,246333
