id,count,population
00,0,
13500,27,71803
13400,8,187435
11500,258,720600
13200,206,229807
13100,5,180039
13000,26,388436
13700,3,138362
13600,6,236059
11300,147,1170817
11200,2891,2504700
13900,18,82318
13800,6,139711
11900,33,249449
11800,3,72690
10100,30,62248
10800,33,85822
11600,195,114978
14600,243,478127
14700,9,179736
14400,18,304910
14500,16,320247
14200,239,564824
14300,30,66192
14000,5,444874
14100,2,200100
14800,2,283720
Zip Code - 3 digits00,0,
12000,18,330854
12100,34,280446
12200,124,151022
10900,126,537311
12400,12,154261
12500,81,448672
12600,20,86794
12700,23,99295
12800,3,225336
12900,4,164172
10000,820,1502501
14900,9,49642
10600,48,81120
10700,148,227049
10400,1906,1382480
10500,191,646012
13300,0,142936
11400,960,728928
11700,305,1565949
12300,53,162643
OOS00,200,
11100,39,204715
10300,141,468730
11000,67,246333
