id,count,population
00,0,
13500,0,71803
13400,6,187435
11500,9,720600
13200,2,229807
13100,4,180039
13000,4,388436
13700,1,138362
13600,3,236059
11300,17,1170817
11200,29,2504700
13900,1,82318
13800,0,139711
11900,6,249449
11800,1,72690
10100,0,62248
10800,3,85822
11600,0,114978
14600,6,478127
14700,2,179736
14400,7,304910
14500,10,320247
14200,4,564824
14300,2,66192
14000,8,444874
14100,1,200100
14800,3,283720
Zip Code - 3 digits00,0,
12000,1,330854
12100,2,280446
12200,1,151022
10900,3,537311
12400,2,154261
12500,5,448672
12600,0,86794
12700,1,99295
12800,3,225336
12900,1,164172
10000,25,1502501
14900,1,49642
10600,0,81120
10700,5,227049
10400,20,1382480
10500,11,646012
13300,3,142936
11400,7,728928
11700,16,1565949
12300,2,162643
OOS00,32,
11100,5,204715
10300,9,468730
11000,5,246333
