id,count,population
00,10,
13500,198,71803
13400,422,187435
11500,1673,720600
13200,587,229807
13100,368,180039
13000,791,388436
13700,286,138362
13600,515,236059
11300,2138,1170817
11200,5934,2504700
13900,200,82318
13800,282,139711
11900,756,249449
11800,164,72690
10100,103,62248
10800,181,85822
11600,332,114978
14600,1020,478127
14700,316,179736
14400,518,304910
14500,501,320247
14200,1043,564824
14300,182,66192
14000,730,444874
14100,374,200100
14800,542,283720
Zip Code - 3 digits00,0,
12000,613,330854
12100,644,280446
12200,367,151022
10900,1017,537311
12400,368,154261
12500,799,448672
12600,198,86794
12700,200,99295
12800,427,225336
12900,288,164172
10000,3157,1502501
14900,173,49642
10600,205,81120
10700,717,227049
10400,4229,1382480
10500,1047,646012
13300,293,142936
11400,1354,728928
11700,4073,1565949
12300,297,162643
OOS00,746,
11100,394,204715
10300,1197,468730
11000,501,246333
