id,count,population
00,2,
13500,10,71803
13400,21,187435
11500,146,720600
13200,32,229807
13100,13,180039
13000,28,388436
13700,19,138362
13600,26,236059
11300,267,1170817
11200,722,2504700
13900,9,82318
13800,11,139711
11900,46,249449
11800,10,72690
10100,6,62248
10800,14,85822
11600,35,114978
14600,53,478127
14700,13,179736
14400,24,304910
14500,27,320247
14200,106,564824
14300,13,66192
14000,57,444874
14100,31,200100
14800,19,283720
Zip Code - 3 digits00,0,
12000,42,330854
12100,24,280446
12200,28,151022
10900,69,537311
12400,29,154261
12500,52,448672
12600,18,86794
12700,28,99295
12800,36,225336
12900,14,164172
10000,433,1502501
14900,5,49642
10600,7,81120
10700,55,227049
10400,585,1382480
10500,84,646012
13300,12,142936
11400,168,728928
11700,329,1565949
12300,20,162643
OOS00,135,
11100,35,204715
10300,107,468730
11000,48,246333
