id,count,population
00,0,
13500,2,71803
13400,7,187435
11500,20,720600
13200,14,229807
13100,9,180039
13000,12,388436
13700,9,138362
13600,5,236059
11300,27,1170817
11200,52,2504700
13900,6,82318
13800,4,139711
11900,8,249449
11800,1,72690
10100,1,62248
10800,3,85822
11600,4,114978
14600,33,478127
14700,4,179736
14400,9,304910
14500,13,320247
14200,26,564824
14300,2,66192
14000,23,444874
14100,12,200100
14800,5,283720
Zip Code - 3 digits00,0,
12000,12,330854
12100,7,280446
12200,3,151022
10900,46,537311
12400,8,154261
12500,25,448672
12600,3,86794
12700,7,99295
12800,6,225336
12900,0,164172
10000,38,1502501
14900,1,49642
10600,3,81120
10700,9,227049
10400,55,1382480
10500,21,646012
13300,6,142936
11400,25,728928
11700,59,1565949
12300,5,162643
OOS00,43,
11100,3,204715
10300,12,468730
11000,4,246333
