id,count,population
00,0,
13500,5,71803
13400,7,187435
11500,69,720600
13200,17,229807
13100,2,180039
13000,10,388436
13700,2,138362
13600,11,236059
11300,100,1170817
11200,502,2504700
13900,1,82318
13800,1,139711
11900,16,249449
11800,1,72690
10100,0,62248
10800,14,85822
11600,20,114978
14600,21,478127
14700,7,179736
14400,7,304910
14500,8,320247
14200,44,564824
14300,2,66192
14000,11,444874
14100,7,200100
14800,3,283720
Zip Code - 3 digits00,0,
12000,4,330854
12100,5,280446
12200,6,151022
10900,33,537311
12400,9,154261
12500,23,448672
12600,7,86794
12700,5,99295
12800,7,225336
12900,4,164172
10000,121,1502501
14900,1,49642
10600,5,81120
10700,28,227049
10400,316,1382480
10500,35,646012
13300,3,142936
11400,135,728928
11700,90,1565949
12300,8,162643
OOS00,21,
11100,16,204715
10300,33,468730
11000,9,246333
