id,count,population
00,2,
13500,5,71803
13400,20,187435
11500,78,720600
13200,14,229807
13100,18,180039
13000,31,388436
13700,8,138362
13600,9,236059
11300,71,1170817
11200,199,2504700
13900,8,82318
13800,11,139711
11900,50,249449
11800,5,72690
10100,8,62248
10800,4,85822
11600,12,114978
14600,51,478127
14700,10,179736
14400,19,304910
14500,27,320247
14200,36,564824
14300,8,66192
14000,42,444874
14100,12,200100
14800,9,283720
Zip Code - 3 digits00,0,
12000,40,330854
12100,21,280446
12200,13,151022
10900,51,537311
12400,16,154261
12500,48,448672
12600,7,86794
12700,7,99295
12800,29,225336
12900,15,164172
10000,145,1502501
14900,1,49642
10600,13,81120
10700,28,227049
10400,158,1382480
10500,59,646012
13300,13,142936
11400,74,728928
11700,180,1565949
12300,7,162643
OOS00,65,
11100,21,204715
10300,62,468730
11000,27,246333
