id,count,population
00,4,
13500,7,71803
13400,19,187435
11500,94,720600
13200,18,229807
13100,19,180039
13000,26,388436
13700,4,138362
13600,11,236059
11300,201,1170817
11200,382,2504700
13900,4,82318
13800,12,139711
11900,21,249449
11800,8,72690
10100,3,62248
10800,5,85822
11600,14,114978
14600,28,478127
14700,10,179736
14400,12,304910
14500,20,320247
14200,41,564824
14300,5,66192
14000,36,444874
14100,12,200100
14800,9,283720
Zip Code - 3 digits00,0,
12000,24,330854
12100,22,280446
12200,11,151022
10900,44,537311
12400,14,154261
12500,39,448672
12600,5,86794
12700,8,99295
12800,10,225336
12900,8,164172
10000,152,1502501
14900,7,49642
10600,9,81120
10700,40,227049
10400,176,1382480
10500,73,646012
13300,10,142936
11400,89,728928
11700,143,1565949
12300,13,162643
OOS00,151,
11100,24,204715
10300,43,468730
11000,24,246333
