id,count,population
00,10,
13500,82,71803
13400,151,187435
11500,988,720600
13200,599,229807
13100,137,180039
13000,417,388436
13700,174,138362
13600,550,236059
11300,893,1170817
11200,5496,2504700
13900,155,82318
13800,131,139711
11900,533,249449
11800,120,72690
10100,53,62248
10800,220,85822
11600,238,114978
14600,698,478127
14700,177,179736
14400,209,304910
14500,154,320247
14200,1076,564824
14300,210,66192
14000,627,444874
14100,278,200100
14800,431,283720
Zip Code - 3 digits00,0,
12000,314,330854
12100,355,280446
12200,250,151022
10900,1119,537311
12400,432,154261
12500,1041,448672
12600,354,86794
12700,420,99295
12800,148,225336
12900,249,164172
10000,5552,1502501
14900,167,49642
10600,184,81120
10700,692,227049
10400,5674,1382480
10500,907,646012
13300,85,142936
11400,652,728928
11700,2885,1565949
12300,222,162643
OOS00,788,
11100,211,204715
10300,1879,468730
11000,254,246333
