id,count,population
00,0,
13500,0,71803
13400,0,187435
11500,1,720600
13200,2,229807
13100,2,180039
13000,2,388436
13700,1,138362
13600,1,236059
11300,1,1170817
11200,10,2504700
13900,0,82318
13800,1,139711
11900,2,249449
11800,0,72690
10100,0,62248
10800,0,85822
11600,0,114978
14600,2,478127
14700,0,179736
14400,0,304910
14500,0,320247
14200,3,564824
14300,0,66192
14000,1,444874
14100,1,200100
14800,0,283720
Zip Code - 3 digits00,0,
12000,0,330854
12100,0,280446
12200,2,151022
10900,2,537311
12400,0,154261
12500,1,448672
12600,1,86794
12700,0,99295
12800,0,225336
12900,4,164172
10000,22,1502501
14900,0,49642
10600,0,81120
10700,0,227049
10400,4,1382480
10500,0,646012
13300,3,142936
11400,0,728928
11700,0,1565949
12300,0,162643
OOS00,2,
11100,0,204715
10300,2,468730
11000,0,246333
