id,count,population
00,2,
13500,17,71803
13400,26,187435
11500,150,720600
13200,31,229807
13100,19,180039
13000,43,388436
13700,13,138362
13600,22,236059
11300,214,1170817
11200,434,2504700
13900,9,82318
13800,22,139711
11900,57,249449
11800,10,72690
10100,10,62248
10800,21,85822
11600,15,114978
14600,65,478127
14700,15,179736
14400,33,304910
14500,32,320247
14200,80,564824
14300,8,66192
14000,76,444874
14100,35,200100
14800,26,283720
Zip Code - 3 digits00,0,
12000,48,330854
12100,45,280446
12200,16,151022
10900,54,537311
12400,42,154261
12500,73,448672
12600,25,86794
12700,5,99295
12800,35,225336
12900,16,164172
10000,221,1502501
14900,16,49642
10600,15,81120
10700,74,227049
10400,342,1382480
10500,107,646012
13300,25,142936
11400,109,728928
11700,348,1565949
12300,15,162643
OOS00,70,
11100,23,204715
10300,133,468730
11000,46,246333
