id,count,population
00,18,
13500,163,71803
13400,386,187435
11500,1218,720600
13200,427,229807
13100,271,180039
13000,580,388436
13700,218,138362
13600,286,236059
11300,1669,1170817
11200,3937,2504700
13900,118,82318
13800,163,139711
11900,595,249449
11800,130,72690
10100,66,62248
10800,147,85822
11600,218,114978
14600,696,478127
14700,275,179736
14400,418,304910
14500,415,320247
14200,1004,564824
14300,125,66192
14000,761,444874
14100,353,200100
14800,334,283720
Zip Code - 3 digits00,0,
12000,512,330854
12100,482,280446
12200,269,151022
10900,828,537311
12400,321,154261
12500,725,448672
12600,119,86794
12700,175,99295
12800,375,225336
12900,222,164172
10000,2281,1502501
14900,89,49642
10600,134,81120
10700,411,227049
10400,2767,1382480
10500,910,646012
13300,251,142936
11400,1089,728928
11700,3016,1565949
12300,230,162643
OOS00,1518,
11100,207,204715
10300,982,468730
11000,343,246333
