id,count,population
00,16,
13500,68,71803
13400,161,187435
11500,1392,720600
13200,143,229807
13100,101,180039
13000,281,388436
13700,78,138362
13600,137,236059
11300,1886,1170817
11200,4044,2504700
13900,43,82318
13800,73,139711
11900,413,249449
11800,142,72690
10100,53,62248
10800,132,85822
11600,252,114978
14600,260,478127
14700,85,179736
14400,145,304910
14500,187,320247
14200,473,564824
14300,118,66192
14000,355,444874
14100,178,200100
14800,143,283720
Zip Code - 3 digits00,0,
12000,197,330854
12100,167,280446
12200,100,151022
10900,460,537311
12400,239,154261
12500,377,448672
12600,88,86794
12700,76,99295
12800,132,225336
12900,109,164172
10000,1962,1502501
14900,44,49642
10600,102,81120
10700,486,227049
10400,2329,1382480
10500,627,646012
13300,109,142936
11400,1236,728928
11700,2491,1565949
12300,113,162643
OOS00,547,
11100,281,204715
10300,623,468730
11000,482,246333
