id,count,population
00,1,
13500,15,71803
13400,13,187435
11500,96,720600
13200,24,229807
13100,8,180039
13000,36,388436
13700,5,138362
13600,22,236059
11300,118,1170817
11200,285,2504700
13900,9,82318
13800,7,139711
11900,27,249449
11800,11,72690
10100,3,62248
10800,9,85822
11600,19,114978
14600,37,478127
14700,5,179736
14400,14,304910
14500,13,320247
14200,19,564824
14300,1,66192
14000,15,444874
14100,8,200100
14800,19,283720
Zip Code - 3 digits00,0,
12000,27,330854
12100,23,280446
12200,26,151022
10900,41,537311
12400,24,154261
12500,33,448672
12600,7,86794
12700,4,99295
12800,26,225336
12900,9,164172
10000,179,1502501
14900,6,49642
10600,13,81120
10700,25,227049
10400,244,1382480
10500,59,646012
13300,8,142936
11400,84,728928
11700,168,1565949
12300,10,162643
OOS00,114,
11100,17,204715
10300,52,468730
11000,30,246333
