id,count,population
00,0,
13500,0,71803
13400,1,187435
11500,6,720600
13200,2,229807
13100,1,180039
13000,2,388436
13700,2,138362
13600,1,236059
11300,16,1170817
11200,11,2504700
13900,1,82318
13800,1,139711
11900,2,249449
11800,0,72690
10100,0,62248
10800,1,85822
11600,1,114978
14600,2,478127
14700,0,179736
14400,2,304910
14500,1,320247
14200,1,564824
14300,0,66192
14000,1,444874
14100,0,200100
14800,0,283720
Zip Code - 3 digits00,0,
12000,1,330854
12100,1,280446
12200,1,151022
10900,3,537311
12400,4,154261
12500,3,448672
12600,0,86794
12700,1,99295
12800,0,225336
12900,1,164172
10000,14,1502501
14900,0,49642
10600,0,81120
10700,5,227049
10400,11,1382480
10500,8,646012
13300,2,142936
11400,4,728928
11700,17,1565949
12300,0,162643
OOS00,26,
11100,7,204715
10300,1,468730
11000,2,246333
