id,count,population
00,6,
13500,6,71803
13400,16,187435
11500,87,720600
13200,16,229807
13100,13,180039
13000,25,388436
13700,5,138362
13600,15,236059
11300,182,1170817
11200,379,2504700
13900,5,82318
13800,4,139711
11900,41,249449
11800,22,72690
10100,11,62248
10800,8,85822
11600,15,114978
14600,48,478127
14700,15,179736
14400,26,304910
14500,25,320247
14200,83,564824
14300,6,66192
14000,78,444874
14100,29,200100
14800,12,283720
Zip Code - 3 digits00,0,
12000,11,330854
12100,11,280446
12200,3,151022
10900,62,537311
12400,6,154261
12500,30,448672
12600,4,86794
12700,9,99295
12800,21,225336
12900,6,164172
10000,216,1502501
14900,4,49642
10600,5,81120
10700,27,227049
10400,171,1382480
10500,79,646012
13300,9,142936
11400,73,728928
11700,276,1565949
12300,4,162643
OOS00,343,
11100,24,204715
10300,110,468730
11000,37,246333
