id,count,population
00,1,
13500,20,71803
13400,18,187435
11500,128,720600
13200,17,229807
13100,12,180039
13000,38,388436
13700,8,138362
13600,17,236059
11300,175,1170817
11200,631,2504700
13900,5,82318
13800,4,139711
11900,30,249449
11800,13,72690
10100,10,62248
10800,14,85822
11600,19,114978
14600,72,478127
14700,34,179736
14400,23,304910
14500,27,320247
14200,206,564824
14300,10,66192
14000,126,444874
14100,45,200100
14800,27,283720
Zip Code - 3 digits00,0,
12000,28,330854
12100,25,280446
12200,11,151022
10900,61,537311
12400,13,154261
12500,50,448672
12600,7,86794
12700,13,99295
12800,41,225336
12900,21,164172
10000,252,1502501
14900,6,49642
10600,13,81120
10700,27,227049
10400,372,1382480
10500,62,646012
13300,13,142936
11400,199,728928
11700,198,1565949
12300,12,162643
OOS00,165,
11100,43,204715
10300,88,468730
11000,40,246333
