id,count,population
00,6,
13500,69,71803
13400,180,187435
11500,613,720600
13200,150,229807
13100,98,180039
13000,238,388436
13700,92,138362
13600,113,236059
11300,600,1170817
11200,1429,2504700
13900,40,82318
13800,56,139711
11900,276,249449
11800,56,72690
10100,22,62248
10800,42,85822
11600,122,114978
14600,277,478127
14700,59,179736
14400,165,304910
14500,220,320247
14200,285,564824
14300,97,66192
14000,257,444874
14100,112,200100
14800,161,283720
Zip Code - 3 digits00,0,
12000,152,330854
12100,126,280446
12200,60,151022
10900,350,537311
12400,173,154261
12500,282,448672
12600,66,86794
12700,54,99295
12800,110,225336
12900,90,164172
10000,596,1502501
14900,58,49642
10600,47,81120
10700,197,227049
10400,756,1382480
10500,311,646012
13300,94,142936
11400,416,728928
11700,1349,1565949
12300,90,162643
OOS00,247,
11100,87,204715
10300,330,468730
11000,130,246333
