id,count,population
00,1,
13500,19,71803
13400,12,187435
11500,72,720600
13200,17,229807
13100,10,180039
13000,14,388436
13700,15,138362
13600,19,236059
11300,97,1170817
11200,433,2504700
13900,9,82318
13800,15,139711
11900,44,249449
11800,6,72690
10100,3,62248
10800,3,85822
11600,21,114978
14600,45,478127
14700,4,179736
14400,18,304910
14500,12,320247
14200,46,564824
14300,7,66192
14000,26,444874
14100,21,200100
14800,17,283720
Zip Code - 3 digits00,0,
12000,13,330854
12100,18,280446
12200,10,151022
10900,31,537311
12400,9,154261
12500,27,448672
12600,7,86794
12700,4,99295
12800,11,225336
12900,11,164172
10000,151,1502501
14900,9,49642
10600,7,81120
10700,37,227049
10400,198,1382480
10500,38,646012
13300,12,142936
11400,109,728928
11700,248,1565949
12300,6,162643
OOS00,45,
11100,18,204715
10300,101,468730
11000,18,246333
