id,count,population
00,1,
13500,4,71803
13400,1,187435
11500,13,720600
13200,4,229807
13100,1,180039
13000,3,388436
13700,0,138362
13600,0,236059
11300,88,1170817
11200,149,2504700
13900,1,82318
13800,0,139711
11900,4,249449
11800,2,72690
10100,1,62248
10800,1,85822
11600,4,114978
14600,1,478127
14700,0,179736
14400,0,304910
14500,0,320247
14200,10,564824
14300,0,66192
14000,3,444874
14100,0,200100
14800,1,283720
Zip Code - 3 digits00,0,
12000,1,330854
12100,0,280446
12200,1,151022
10900,6,537311
12400,3,154261
12500,7,448672
12600,0,86794
12700,0,99295
12800,0,225336
12900,0,164172
10000,62,1502501
14900,0,49642
10600,2,81120
10700,7,227049
10400,58,1382480
10500,14,646012
13300,1,142936
11400,44,728928
11700,33,1565949
12300,2,162643
OOS00,7,
11100,14,204715
10300,12,468730
11000,7,246333
