id,count,population
00,18,
13500,21,71803
13400,57,187435
11500,357,720600
13200,128,229807
13100,97,180039
13000,180,388436
13700,91,138362
13600,155,236059
11300,621,1170817
11200,1465,2504700
13900,50,82318
13800,65,139711
11900,55,249449
11800,29,72690
10100,9,62248
10800,32,85822
11600,60,114978
14600,130,478127
14700,61,179736
14400,119,304910
14500,114,320247
14200,227,564824
14300,15,66192
14000,159,444874
14100,68,200100
14800,135,283720
Zip Code - 3 digits00,0,
12000,139,330854
12100,156,280446
12200,125,151022
10900,354,537311
12400,87,154261
12500,263,448672
12600,98,86794
12700,50,99295
12800,88,225336
12900,36,164172
10000,434,1502501
14900,44,49642
10600,14,81120
10700,93,227049
10400,480,1382480
10500,183,646012
13300,30,142936
11400,316,728928
11700,674,1565949
12300,43,162643
OOS00,115,
11100,63,204715
10300,163,468730
11000,89,246333
