id,count,population
00,5,
13500,35,71803
13400,79,187435
11500,358,720600
13200,93,229807
13100,58,180039
13000,123,388436
13700,55,138362
13600,169,236059
11300,491,1170817
11200,1190,2504700
13900,24,82318
13800,42,139711
11900,186,249449
11800,47,72690
10100,24,62248
10800,67,85822
11600,123,114978
14600,161,478127
14700,54,179736
14400,88,304910
14500,85,320247
14200,266,564824
14300,31,66192
14000,171,444874
14100,71,200100
14800,51,283720
Zip Code - 3 digits00,0,
12000,86,330854
12100,92,280446
12200,60,151022
10900,201,537311
12400,99,154261
12500,131,448672
12600,29,86794
12700,39,99295
12800,52,225336
12900,44,164172
10000,748,1502501
14900,19,49642
10600,53,81120
10700,106,227049
10400,915,1382480
10500,248,646012
13300,63,142936
11400,340,728928
11700,851,1565949
12300,28,162643
OOS00,378,
11100,80,204715
10300,235,468730
11000,113,246333
