id,count,population
00,4,
13500,12,71803
13400,42,187435
11500,179,720600
13200,30,229807
13100,27,180039
13000,43,388436
13700,22,138362
13600,41,236059
11300,337,1170817
11200,640,2504700
13900,16,82318
13800,20,139711
11900,79,249449
11800,16,72690
10100,13,62248
10800,24,85822
11600,39,114978
14600,85,478127
14700,10,179736
14400,29,304910
14500,42,320247
14200,95,564824
14300,8,66192
14000,71,444874
14100,42,200100
14800,34,283720
Zip Code - 3 digits00,0,
12000,46,330854
12100,44,280446
12200,23,151022
10900,119,537311
12400,58,154261
12500,102,448672
12600,15,86794
12700,17,99295
12800,51,225336
12900,19,164172
10000,280,1502501
14900,8,49642
10600,37,81120
10700,55,227049
10400,399,1382480
10500,160,646012
13300,36,142936
11400,167,728928
11700,368,1565949
12300,26,162643
OOS00,129,
11100,40,204715
10300,87,468730
11000,61,246333
