id,count,population
00,9,
13500,124,71803
13400,299,187435
11500,1415,720600
13200,458,229807
13100,293,180039
13000,726,388436
13700,273,138362
13600,335,236059
11300,2168,1170817
11200,4527,2504700
13900,178,82318
13800,294,139711
11900,529,249449
11800,115,72690
10100,61,62248
10800,114,85822
11600,284,114978
14600,789,478127
14700,211,179736
14400,483,304910
14500,451,320247
14200,698,564824
14300,117,66192
14000,642,444874
14100,269,200100
14800,470,283720
Zip Code - 3 digits00,0,
12000,477,330854
12100,490,280446
12200,313,151022
10900,857,537311
12400,264,154261
12500,576,448672
12600,127,86794
12700,117,99295
12800,312,225336
12900,231,164172
10000,2587,1502501
14900,142,49642
10600,164,81120
10700,480,227049
10400,3081,1382480
10500,830,646012
13300,238,142936
11400,1242,728928
11700,2904,1565949
12300,191,162643
OOS00,485,
11100,288,204715
10300,817,468730
11000,401,246333
