id,count,population
00,11,
13500,70,71803
13400,157,187435
11500,536,720600
13200,130,229807
13100,98,180039
13000,208,388436
13700,86,138362
13600,110,236059
11300,703,1170817
11200,1642,2504700
13900,42,82318
13800,97,139711
11900,189,249449
11800,65,72690
10100,24,62248
10800,42,85822
11600,86,114978
14600,301,478127
14700,63,179736
14400,152,304910
14500,204,320247
14200,237,564824
14300,47,66192
14000,273,444874
14100,115,200100
14800,166,283720
Zip Code - 3 digits00,0,
12000,170,330854
12100,147,280446
12200,75,151022
10900,314,537311
12400,125,154261
12500,250,448672
12600,35,86794
12700,40,99295
12800,105,225336
12900,82,164172
10000,625,1502501
14900,44,49642
10600,43,81120
10700,237,227049
10400,993,1382480
10500,351,646012
13300,85,142936
11400,399,728928
11700,1020,1565949
12300,93,162643
OOS00,298,
11100,115,204715
10300,508,468730
11000,158,246333
