id,count,population
00,1,
13500,12,71803
13400,21,187435
11500,116,720600
13200,16,229807
13100,19,180039
13000,23,388436
13700,13,138362
13600,9,236059
11300,162,1170817
11200,413,2504700
13900,14,82318
13800,19,139711
11900,41,249449
11800,12,72690
10100,10,62248
10800,16,85822
11600,17,114978
14600,84,478127
14700,35,179736
14400,56,304910
14500,70,320247
14200,97,564824
14300,8,66192
14000,76,444874
14100,43,200100
14800,43,283720
Zip Code - 3 digits00,0,
12000,18,330854
12100,15,280446
12200,7,151022
10900,53,537311
12400,7,154261
12500,42,448672
12600,8,86794
12700,9,99295
12800,13,225336
12900,5,164172
10000,263,1502501
14900,4,49642
10600,10,81120
10700,36,227049
10400,236,1382480
10500,92,646012
13300,14,142936
11400,142,728928
11700,249,1565949
12300,11,162643
OOS00,127,
11100,23,204715
10300,83,468730
11000,41,246333
