id,count,population
00,0,
13500,1,71803
13400,2,187435
11500,8,720600
13200,2,229807
13100,1,180039
13000,1,388436
13700,4,138362
13600,0,236059
11300,19,1170817
11200,58,2504700
13900,2,82318
13800,1,139711
11900,9,249449
11800,2,72690
10100,0,62248
10800,1,85822
11600,1,114978
14600,2,478127
14700,0,179736
14400,5,304910
14500,6,320247
14200,7,564824
14300,0,66192
14000,6,444874
14100,1,200100
14800,2,283720
Zip Code - 3 digits00,0,
12000,2,330854
12100,7,280446
12200,2,151022
10900,9,537311
12400,1,154261
12500,2,448672
12600,1,86794
12700,1,99295
12800,0,225336
12900,1,164172
10000,45,1502501
14900,1,49642
10600,0,81120
10700,4,227049
10400,37,1382480
10500,1,646012
13300,1,142936
11400,9,728928
11700,19,1565949
12300,0,162643
OOS00,2,
11100,6,204715
10300,7,468730
11000,0,246333
