id,count,population
00,1,
13500,31,71803
13400,47,187435
11500,288,720600
13200,66,229807
13100,41,180039
13000,83,388436
13700,30,138362
13600,60,236059
11300,347,1170817
11200,934,2504700
13900,21,82318
13800,27,139711
11900,106,249449
11800,31,72690
10100,10,62248
10800,18,85822
11600,45,114978
14600,134,478127
14700,34,179736
14400,55,304910
14500,70,320247
14200,139,564824
14300,11,66192
14000,82,444874
14100,43,200100
14800,55,283720
Zip Code - 3 digits00,0,
12000,59,330854
12100,55,280446
12200,49,151022
10900,127,537311
12400,38,154261
12500,89,448672
12600,17,86794
12700,14,99295
12800,48,225336
12900,24,164172
10000,472,1502501
14900,18,49642
10600,24,81120
10700,104,227049
10400,674,1382480
10500,151,646012
13300,30,142936
11400,250,728928
11700,614,1565949
12300,31,162643
OOS00,131,
11100,53,204715
10300,192,468730
11000,102,246333
