id,count,population
00,0,
13500,12,71803
13400,35,187435
11500,164,720600
13200,29,229807
13100,38,180039
13000,61,388436
13700,31,138362
13600,53,236059
11300,227,1170817
11200,430,2504700
13900,13,82318
13800,26,139711
11900,82,249449
11800,22,72690
10100,7,62248
10800,19,85822
11600,21,114978
14600,87,478127
14700,38,179736
14400,55,304910
14500,62,320247
14200,138,564824
14300,15,66192
14000,150,444874
14100,49,200100
14800,68,283720
Zip Code - 3 digits00,0,
12000,67,330854
12100,59,280446
12200,46,151022
10900,151,537311
12400,27,154261
12500,116,448672
12600,25,86794
12700,19,99295
12800,41,225336
12900,21,164172
10000,321,1502501
14900,10,49642
10600,18,81120
10700,55,227049
10400,353,1382480
10500,178,646012
13300,30,142936
11400,107,728928
11700,344,1565949
12300,22,162643
OOS00,317,
11100,39,204715
10300,117,468730
11000,52,246333
